Running tool: /usr/bin/go test -benchmem -run=^$ -coverprofile=/tmp/vscode-goXHUl02/go-code-cover -bench . github.com/database64128/cubic-go-playground/logging

goos: linux
goarch: amd64
pkg: github.com/database64128/cubic-go-playground/logging
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkZapConsole/AddCaller/Info/FieldsStringer-32            	  778528	      1868 ns/op	     670 B/op	      12 allocs/op
BenchmarkZapConsole/AddCaller/Info/FieldsStringerp-32           	  639012	      1797 ns/op	     613 B/op	      10 allocs/op
BenchmarkZapConsole/AddCaller/Debug-32                          	421722714	         2.843 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/AddCaller/Debug/FieldsString-32             	 6718242	       240.7 ns/op	     272 B/op	       4 allocs/op
BenchmarkZapConsole/AddCaller/Debug/FieldsStringer-32           	19808214	        67.22 ns/op	     184 B/op	       3 allocs/op
BenchmarkZapConsole/AddCaller/Debug/FieldsStringerp-32          	39049428	        30.18 ns/op	     128 B/op	       1 allocs/op
BenchmarkZapConsole/AddCaller/info/CheckNoFields-32             	 1238756	      1002 ns/op	     339 B/op	       6 allocs/op
BenchmarkZapConsole/AddCaller/info/CheckFieldsString-32         	  854832	      1524 ns/op	     613 B/op	      10 allocs/op
BenchmarkZapConsole/AddCaller/info/CheckFieldsStringer-32       	  879294	      1659 ns/op	     670 B/op	      12 allocs/op
BenchmarkZapConsole/AddCaller/info/CheckFieldsStringerp-32      	  763936	      1630 ns/op	     613 B/op	      10 allocs/op
BenchmarkZapConsole/AddCaller/debug/CheckNoFields-32            	494102424	         2.413 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/AddCaller/debug/CheckFieldsString-32        	468769724	         2.530 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/AddCaller/debug/CheckFieldsStringer-32      	483560592	         2.279 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/AddCaller/debug/CheckFieldsStringerp-32     	500222264	         2.467 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/Color/Info-32                                    	 4660688	       249.0 ns/op	       0 B/op	       0 allocs/op
